Date,PortfolioValue,Positions
2017-11-02,16848837.4728806,1
2017-11-03,16842966.6728806,1
2017-11-06,16873517.4128806,1
2017-11-07,16738127.7328806,1
2017-11-08,16701344.9128806,1
2017-11-09,16752782.1528806,1
2017-11-10,16754249.8528806,1
2017-11-13,16636811.2728806,1
2017-11-14,16597364.0128806,1
2017-11-15,16468206.4128806,1
2017-11-16,16594767.3128806,1
2017-11-17,16651059.2528806,1
2017-11-20,16673097.3328806,1
2017-11-21,16732414.9928806,1
2017-11-22,16747204.8928806,1
2017-11-23,16773171.8928806,1
2017-11-24,16843598.9128806,1
2017-11-27,16858072.6928806,1
2017-11-28,16868188.5328806,1
2017-11-29,16856695.3128806,1
2017-11-30,16694051.5728806,1
2017-12-01,16535923.8328806,1
2017-12-04,16536939.932880599,1
2017-12-05,16494128.2528806,1
2017-12-06,16429752.672880601,1
2017-12-07,16600954.2328806,1
2017-12-08,16742169.5528806,1
2017-12-11,16838157.132880602,1
2017-12-12,16726860.3128806,1
2017-12-13,16683145.432880599,1
2017-12-14,16723428.1528806,1
2017-12-15,16815283.5928806,1
2017-12-18,16926219.132880602,1
2017-12-19,17071385.9528806,1
2017-12-20,17077572.8728806,1
2017-12-21,17086875.832880598,1
2017-12-22,17165634.8728806,1
2017-12-26,17223371.9328806,1
2017-12-27,17196298.5128806,1
2017-12-28,17160667.2728806,1
2017-12-29,17307369.5328806,1
2018-01-01,17197472.6728806,1
2018-01-02,17231342.6728806,1
2018-01-03,17240735.9528806,1
2018-01-04,17332072.0528806,1
2018-01-05,17417808.3128806,1
2018-01-08,17523053.6928806,1
2018-01-09,17529985.7528806,1
2018-01-10,17557465.6128806,1
2018-01-11,17567897.5728806,1
2018-01-12,17606915.8128806,1
2018-01-15,17630805.4528806,1
2018-01-16,17608789.9528806,1
2018-01-17,17671742.9928806,1
2018-01-18,17652640.3128806,1
2018-01-19,17701232.4728806,1
2018-01-22,17828606.2528806,1
2018-01-23,17942432.0328806,1
2018-01-24,17940174.0328806,1
2018-01-25,17870469.5728806,1
2018-01-29,18038758.3128806,1
2018-01-30,17924300.2928806,1
2018-01-31,17853150.7128806,1
2018-02-01,17930464.632880602,1
2018-02-02,17535946.8728806,1
2018-02-05,17370412.8928806,1
2018-02-06,17066711.8928806,1
2018-02-07,17057589.5728806,1
2018-02-08,17256745.1728806,1
2018-02-09,17145741.8928806,1
2018-02-12,17329430.1928806,1
2018-02-14,17314527.3928806,1
2018-02-15,17309446.8928806,1
2018-02-16,17225178.332880598,1
2018-02-19,17081659.8528806,1
2018-02-20,17093446.6128806,1
2018-02-21,17147119.2728806,1
2018-02-22,17084166.2328806,1
2018-02-23,17212714.1728806,1
2018-02-26,17352168.2528806,1
2018-02-27,17339523.4528806,1
2018-02-28,17298473.0128806,1
2018-03-01,17289034.5728806,1
2018-03-05,17145199.9728806,1
2018-03-06,17011097.3528806,1
2018-03-07,16921454.7528806,1
2018-03-08,17017035.8928806,1
2018-03-09,17014032.7528806,1
